Camera,Lane,Model,TimeZone,Train_Weekday,Train_Weekend,Test_Weekday,Test_Weekend
ccc2617079dd,Lane_0_TotalWeighted,Random Forest,12AM-5AM,0.2828499860465564,0.7406388267245534,0.19838157440712398,0.841973074254267
ccc2617079dd,Lane_0_TotalWeighted,Random Forest,6AM-9AM,7.162865923658485,5.058305431966789,10.76080674760225,11.29700915966683
ccc2617079dd,Lane_0_TotalWeighted,Random Forest,10AM-3PM,12.325397679621961,8.934418912678899,21.85118146125099,20.488003753455242
ccc2617079dd,Lane_0_TotalWeighted,Random Forest,4PM-6PM,21.42535838166043,11.2526171984397,31.465379307840568,22.97266495017125
ccc2617079dd,Lane_0_TotalWeighted,Random Forest,7PM-11PM,7.490192887026118,11.139109916315109,9.328264087506005,9.57875825567295
ccc2617079dd,Lane_0_TotalWeighted,XGBoost,12AM-5AM,0.877704954097528,1.1126799220306702,1.3392181197802226,0.8789586027463278
ccc2617079dd,Lane_0_TotalWeighted,XGBoost,6AM-9AM,8.124088552491418,5.578926190786938,15.342367672920227,9.090430721640587
ccc2617079dd,Lane_0_TotalWeighted,XGBoost,10AM-3PM,13.77622030726019,9.833629543654585,19.396404266357422,22.29759407043457
ccc2617079dd,Lane_0_TotalWeighted,XGBoost,4PM-6PM,24.34660131801584,14.178003394085428,44.816670735677086,23.8438777923584
ccc2617079dd,Lane_0_TotalWeighted,XGBoost,7PM-11PM,8.70419836030887,12.747561988277711,8.972954597473144,8.933872652053832
ccc2617079dd,Lane_0_TotalWeighted,LightGBM,12AM-5AM,0.9424575309209237,1.011185162084816,0.9336505994620602,0.7982392145949019
ccc2617079dd,Lane_0_TotalWeighted,LightGBM,6AM-9AM,7.966710147042529,5.847041998444662,10.56168158667811,10.511233210423846
ccc2617079dd,Lane_0_TotalWeighted,LightGBM,10AM-3PM,11.341354233370682,9.539668133776798,15.820424361318517,21.27725800129358
ccc2617079dd,Lane_0_TotalWeighted,LightGBM,4PM-6PM,22.35081231050833,12.480823846908303,39.338443127064195,21.850040288891165
ccc2617079dd,Lane_0_TotalWeighted,LightGBM,7PM-11PM,8.112687983593244,11.901249037622467,8.21771292124539,9.82762874687889
ccc2617079dd,Lane_0_TotalWeighted,CatBoost,12AM-5AM,1.190199409375709,1.2804259222944063,2.945740856678529,2.0659064907702844
ccc2617079dd,Lane_0_TotalWeighted,CatBoost,6AM-9AM,8.21546784432287,5.7936301068627465,11.953225671292431,10.737820945608302
ccc2617079dd,Lane_0_TotalWeighted,CatBoost,10AM-3PM,11.641976533187789,9.386196313241431,17.333136494485213,20.62362637585801
ccc2617079dd,Lane_0_TotalWeighted,CatBoost,4PM-6PM,20.788158417474317,12.033675516453616,35.30494226541045,21.846376700636878
ccc2617079dd,Lane_0_TotalWeighted,CatBoost,7PM-11PM,7.909384999361232,11.636378675856589,8.002033029894728,10.479215162275347
ccc2617079dd,Lane_1_TotalWeighted,Random Forest,12AM-5AM,0.874089029082736,2.386299560445268,0.7213972520122154,1.5569285658309813
ccc2617079dd,Lane_1_TotalWeighted,Random Forest,6AM-9AM,8.46880343552113,12.699559167901848,9.531281723669519,20.49059634422206
ccc2617079dd,Lane_1_TotalWeighted,Random Forest,10AM-3PM,16.367951690784835,19.135067290942445,32.794565458663165,53.70880376473733
ccc2617079dd,Lane_1_TotalWeighted,Random Forest,4PM-6PM,24.262454435005395,18.27225368144043,32.50110416201749,25.90345353971398
ccc2617079dd,Lane_1_TotalWeighted,Random Forest,7PM-11PM,15.876503810209892,29.73735976089271,14.449882740201112,21.417149683417943
ccc2617079dd,Lane_1_TotalWeighted,XGBoost,12AM-5AM,1.7424665536808652,2.9215763463100917,1.634642736117045,2.1864010989665985
ccc2617079dd,Lane_1_TotalWeighted,XGBoost,6AM-9AM,7.660090036775874,12.05247635858339,9.681757164001464,18.408317923545837
ccc2617079dd,Lane_1_TotalWeighted,XGBoost,10AM-3PM,15.921494584713342,18.619391095811043,30.592989603678387,53.21399116516113
ccc2617079dd,Lane_1_TotalWeighted,XGBoost,4PM-6PM,19.96280110486229,18.12816225503378,35.776536051432295,26.12017822265625
ccc2617079dd,Lane_1_TotalWeighted,XGBoost,7PM-11PM,14.581872886365598,28.294827320264734,14.288871231079101,25.964755249023437
ccc2617079dd,Lane_1_TotalWeighted,LightGBM,12AM-5AM,1.7766191834676397,3.328540598113299,1.377625036096904,1.8928270313310398
ccc2617079dd,Lane_1_TotalWeighted,LightGBM,6AM-9AM,10.931966363110348,14.085300491767766,12.285913738701176,20.708057939408462
ccc2617079dd,Lane_1_TotalWeighted,LightGBM,10AM-3PM,17.94476873878995,20.854115033118862,29.37571397176442,57.42931116217256
ccc2617079dd,Lane_1_TotalWeighted,LightGBM,4PM-6PM,28.391243681366205,22.4020625997914,43.32701183361196,22.6068977672923
ccc2617079dd,Lane_1_TotalWeighted,LightGBM,7PM-11PM,18.189913612454312,32.36180020689407,13.430035772565773,21.177889399952136
ccc2617079dd,Lane_1_TotalWeighted,CatBoost,12AM-5AM,1.9186216588893896,3.618189182775483,1.1777795835557148,2.646393332840347
ccc2617079dd,Lane_1_TotalWeighted,CatBoost,6AM-9AM,9.354521282880592,13.984138706932999,12.467014372898973,23.343385163971742
ccc2617079dd,Lane_1_TotalWeighted,CatBoost,10AM-3PM,16.90822635655581,20.325944442877116,28.424836683911227,51.67389536777472
ccc2617079dd,Lane_1_TotalWeighted,CatBoost,4PM-6PM,25.1393648311169,20.98938439074289,43.918222011759696,22.291367694078165
ccc2617079dd,Lane_1_TotalWeighted,CatBoost,7PM-11PM,16.689561476281327,30.683845989005864,11.77751843718303,21.903151184679384
